"idVin","nomVin","paysVin","regionVin","nomDomaine","appellation","millesime","cepages","couleurVin","typeVin","clBout","degustation","recompenses","accordMetsVin","mainPhotoVin","codeRegion","codeDomaine","codeAppellation","ListeB1","ListeB2","","","","",""
"178","Cairanne ""Terra Rhona""","France","Côte du Rhone","Domaine Constant Duquesnoy","AOC Cairanne","2015","","VR","VT","75","","","","","CdR","Constant","Cairanne","","","","","","",""
"191","IGP Côtes catalanes L'Audacieux","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","Vro","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"192","IGP Côtes catalanes L'Intense","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VB","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"193","IGP Côtes catalanes Bram Fam","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VR","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"194","IGP Côtes catalanes L'espiègle","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VR","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"195","IGP Côtes catalanes L'Audacieux","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","Vro","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"196","IGP Côtes catalanes L'Intense","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VB","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"197","IGP Côtes catalanes Bram Fam","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VR","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"198","IGP Côtes catalanes Belle de Cougoumeille","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VR","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"199","IGP Côtes catalanes L'Audacieux","France","Roussillion","Molin Agly","IGP Côtes catalanes","2016","","Vro","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"200","IGP Côtes catalanes L'Intense","France","Roussillion","Molin Agly","IGP Côtes catalanes","2016","","VB","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"201","IGP Côtes catalanes L'Espiègle","France","Roussillion","Molin Agly","IGP Côtes catalanes","2014","","VR","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"202","IGP Côtes catalanes Du Nord Au Sud","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VR","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"203","IGP Côtes catalanes Bram Fam","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VR","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"204","IGP Côtes catalanes Belle de Cougoumeille","France","Roussillion","Molin Agly","IGP Côtes catalanes","2015","","VR","VT","75","","","","","Rou","Agly","ccatalanes","","","","","","",""
"205","IGP Côtes catalanes La Réserve","France","Roussillion","Molin Agly","IGP Côtes catalanes","2016","","VB","VT","50","","","","","Rou","Agly","ccatalanes","","","","","","",""
